Measurement_Field,Count
controller_motor_usage_1_REAR.count_motorcontroller_1_average_motor_stator_current,465577
controller_motor_usage_1_REAR.count_motorcontroller_1_average_motor_phase_voltage,465577
controller_motor_usage_1_REAR.count_motorcontroller_1_motor_actual_torque,465577
controller_motor_usage_1_REAR.count_motorcontroller_1_target_torque,465577
controller_motor_usage_1_REAR.count_motorcontroller_1_motor_rpm,456206
controller_motor_usage_1_REAR.count_motorcontroller_1_propotional_speed_limit,456206
controller_motor_usage_1_REAR.count_motorcontroller_1_calculated_battery_current,459785
controller_motor_usage_1_REAR.count_motorcontroller_1_controller_capacitor_voltage,459785
controller_motor_usage_1_REAR.count_motorcontroller_1_throttle_input,459785
controller_motor_status_1_REAR.count_motorcontroller_1_drive_direction,0
controller_motor_status_1_REAR.count_motorcontroller_1_motor_temp,44825
controller_motor_status_1_REAR.count_motorcontroller_1_controller_temp,44825
controller_motor_status_1_REAR.count_motorcontroller_1_distance_travelled,44825
controller_motor_status_1_REAR.count_motorcontroller_1_seat_switch,44825
controller_status_1_REAR.count_motorcontroller_1_controller_status,159230
controller_fault_status_1_REAR.count_motorcontroller_1 fault_count,0
controller_fault_status_1_REAR.count_motorcontroller_1 fault_code,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_average_motor_stator_current,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_average_motor_phase_voltage,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_motor_actual_torque,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_target_torque,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_motor_rpm,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_propotional_speed_limit,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_calculated_battery_current,0
controller_motor_usage_2_FRONT.count_motorcontroller_2_controller_capacitor_voltage,0
controller_motor_status_2_FRONT.count_motorcontroller_2_motor_temp,0
controller_motor_status_2_FRONT.count_motorcontroller_2_distance_travelled,0
controller_motor_status_2_FRONT.count_motorcontroller_2_seat_switch,0
controller_motor_status_2_FRONT.count_motorcontroller_2_controller_temp,0
controller_status_2_FRONT.count_motorcontroller_2_controller_status,0
controller_fault_status_2_FRONT.count_motorcontroller_2 fault_count,0
controller_fault_status_2_FRONT.count_motorcontroller_2 fault_code,0
DC_DC_Conv_fault_status.count_Over_temperature_shutdown,238199
DC_DC_Conv_fault_status.count_output_overcurrent_alarm,238199
DC_DC_Conv_fault_status.count_output_overvoltage_alarm,238199
DC_DC_Conv_fault_status.count_output_undervoltage_alarm,238199
DC_DC_Conv_fault_status.count_input_overvoltage_alarm,238199
DC_DC_Conv_fault_status.count_input_undervoltage_alarm,238199
DC_DC_Conv_fault_status.count_output_shortcircuit_protection,238199
DC_DC_Conv_fault_status.count_internal_fault_alarm,238199
DC_DC_Conv_fault_status.count_communication_fault_alarm,238199
DC_DC_Conv_fault_status.count_reserved,238199
DC_DC_Conv_OutputCurrent.count_12Vconv_Outputcurrent,238199
DC_DC-conv_OutputVoltage.count_12Vconv_Outputvoltage,0
DC_DC_conv_workingstatus.count_working_status,238199
DC_DC_Conv_Temperature.count_DC_DC_converter_inner_temperature,0
EPAS_oe_response_state.count_ECUState,0
EPAS_oe_response_state.count_ECUTemperature,0
EPAS_oe_response_state.count_angular_velocity,0
EPAS_oe_response_state.count_fault_enumeration,0
EPAS_oe_response_state.count_steering_angle,0
version_details.count_BMS_Firmware_Version,1
version_details.count_BMS_Profile_Checksum,1
version_details.count_BMS_Serial_Number,1
version_details.count_MC1_Firmware_Number,0
version_details.count_MC1_Profile_Checksum,0
version_details.count_MC1_Serial_Number,0
version_details.count_MC2_Firmware_Number,0
version_details.count_MC2_Profile_Checksum,0
version_details.count_MC2_Serial_Number,0
version_details.count_mew_bootloader_firmware_version,0
version_details.count_VIN_number,0
version_details.count_mew_firmware_version,0
version_details.count_mew_hardware_version,0
orion_bms_fault.count_7E3_byte1,0
orion_bms_fault.count_7E3_byte2,0
orion_bms_fault.count_7E3_byte3,0
orion_bms_fault.count_7E3_byte4,0
orion_bms_fault.count_7E3_byte5,0
orion_bms_fault.count_7E3_byte6,0
orion_bms_fault.count_7E3_byte7,0
orion_bms_fault.count_7E3_byte8,0
orion_bms_fault.count_7EB_byte1,0
orion_bms_fault.count_7EB_byte2,0
orion_bms_fault.count_7EB_byte3,0
orion_bms_fault.count_7EB_byte4,0
orion_bms_fault.count_7EB_byte5,0
orion_bms_fault.count_7EB_byte6,0
orion_bms_fault.count_7EB_byte7,0
orion_bms_fault.count_7EB_byte8,0
vehicle_location.count_latitude,809
vehicle_location.count_longitude,809
vehicle_location.count_timezone,13
